SITE_ID,NEW_AREA_NAME,SITE_RANKED_NGR,SITE_RANKED_EASTING,SITE_RANKED_NORTHING,N_SURVEYS,FIRST_SURVEY,LAST_SURVEY
29251,Kent and South London,TQ4102567494,541025,167494,1,20/12/2007,20/12/2007
71684,Solent and South Downs,SU3628114940,436281,114940,3,15/10/2018,21/08/2024
3727,Derbyshire Nottinghamshire and Leicestershire,SE6994603063,469946,403063,5,11/03/1992,19/09/2006
13689,Essex Norfolk and Suffolk,TL8810040000,588100,240000,1,06/10/1981,06/10/1981
13266,Shropshire Herefordshire Worcestershire and Gloucestershire,SO9180039900,391800,239900,1,13/12/1988,13/12/1988
25221,Devon and Cornwall,SW8934051320,189340,51320,1,11/09/1986,11/09/1986
34251,Wessex,SY9251192782,392511,92782,1,26/10/2009,26/10/2009
9343,Devon and Cornwall,SX7923076280,279230,76280,6,25/07/1996,28/06/2019
35430,Solent and South Downs,TQ6702113855,567021,113855,1,25/06/2010,25/06/2010
10134,Shropshire Herefordshire Worcestershire and Gloucestershire,SO4508560611,345085,260611,24,26/07/1989,19/07/2023
7603,Cumbria and Lancashire,SD7540044939,375400,444939,5,08/07/1998,02/08/2021
4485,Cambridgeshire and Bedfordshire,TL6760074800,567600,274800,5,28/11/1990,20/09/2012
31346,Cumbria and Lancashire,SD7521232865,375212,432865,1,09/07/1999,09/07/1999
1235,Shropshire Herefordshire Worcestershire and Gloucestershire,SO7610098100,376100,298100,2,12/05/1998,18/06/2013
1733,Essex Norfolk and Suffolk,TM3580091200,635800,291200,5,28/07/1989,21/08/2014
6935,Greater Manchester Merseyside and Cheshire,SK0042594770,400425,394770,2,21/07/1994,20/05/1999
7135,Solent and South Downs,TQ4502917936,545029,117936,7,23/08/2002,16/05/2014
5838,Lincolnshire and Northamptonshire,TF2450066000,524500,366000,10,15/10/1985,13/06/2023
5402,Cumbria and Lancashire,SD3067297134,330672,497134,6,29/09/1993,15/09/2021
4843,Cambridgeshire and Bedfordshire,TF8061715230,580617,315230,13,13/11/1989,06/03/2019
61483,Shropshire Herefordshire Worcestershire and Gloucestershire,SO5694937562,356949,237562,5,23/09/2013,13/09/2017
69927,Cumbria and Lancashire,NY0100516841,301005,516841,1,09/08/2017,09/08/2017
5025,West Thames,SU7485068310,474850,168310,4,09/05/1991,24/04/2008
7266,Greater Manchester Merseyside and Cheshire,SK0543185998,405431,385998,22,10/05/2000,21/09/2023
9371,Devon and Cornwall,SX7160371621,271603,71621,7,24/06/1996,21/08/2024
30907,Devon and Cornwall,SX3715091300,237150,91300,1,11/10/1996,11/10/1996
10725,Shropshire Herefordshire Worcestershire and Gloucestershire,SO6127852437,361278,252437,9,15/07/1992,30/08/2023
10367,Cumbria and Lancashire,NY4756525818,347565,525818,11,16/08/1999,16/07/2013
34625,Cumbria and Lancashire,SD7735433072,377354,433072,9,24/06/2013,03/07/2023
19139,Hertfordshire and North London,TQ0727586638,507275,186638,2,17/05/2006,16/05/2011
1644,Essex Norfolk and Suffolk,TG2870007800,628700,307800,5,18/11/1986,28/08/1997
19074,West Thames,SU4370769979,443707,169979,2,16/03/2006,30/04/2014
29805,Cumbria and Lancashire,SD3844519986,338445,419986,3,26/06/2012,16/05/2024
